Code;Libellé;Date (M);Type;Types de notices(M);Usages (zones et sous zones) (M);Nom du référentiel;Nom_usage/web;Notes internes au document;Règle de contrôle;NORME Externe;Modalité de mise à jour;Valeur fixe;Responsable;Commentaire;CODE ou LISTE
Barcelona, BUPF;Barcelona, BUPF;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bari, BN;Bari, BN;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bassano del Grappa, MBA;Bassano del Grappa, MBA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bath, DA;Bath, DA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Baton Rouge, LSUL;Baton Rouge, LSUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bayeux, BC;Bayeux, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bayeux, BM;Bayeux, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bayreuth, UB;Bayreuth, UB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Beaune, BM;Beaune, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Beauvais, BD;Beauvais, BD;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Beauvais, BM;Beauvais, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bégrolles-en-Mauges, AND;Bégrolles-en-Mauges, AND;           30/11/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Belfast, QUML;Belfast, QUML;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bellefontaine, AND;Bellefontaine, AND;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Beltsville, NAL;Beltsville, NAL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Benevento, BA;Benevento, BA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Benicasim, CC;Benicasim, CC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bergamo, BC;Bergamo, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bergamo, BCSA;Bergamo, BCSA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bergues, BM;Bergues, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berkeley, FLL;Berkeley, FLL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berkeley, UCL;Berkeley, UCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berkeley, UCLB;Berkeley, UCLB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berkeley, UCLL;Berkeley, UCLL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berlin, BBF;Berlin, BBF;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berlin, FUB;Berlin, FUB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berlin, HUB;Berlin, HUB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berlin, SB;Berlin, SB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berlin, SMB/KB;Berlin, SMB/KB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berlin, SMB/KK;Berlin, SMB/KK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berlin, TUB;Berlin, TUB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bernay, BM;Bernay, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berne, BB;Berne, BB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berne, NB;Berne, NB;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berne, UB;Berne, UB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bernkastel-Kues, SNH;Bernkastel-Kues, SNH;           30/11/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Berrien Springs, AUL;Berrien Springs, AUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Besançon, BM;Besançon, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Besançon, BU;Besançon, BU;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bethesda, NLM;Bethesda, NLM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bethleem, LUL;Bethleem, LUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Béthune, BM;Béthune, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Beuron, BA;Beuron, BA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Béziers, BM;Béziers, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bielefeld, GB;Bielefeld, GB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Biella, BC;Biella, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Biella, BS;Biella, BS;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Biella, BSV;Biella, BSV;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Big Sandy, AUL;Big Sandy, AUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bilbao, UD;Bilbao, UD;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Binghamton, UL;Binghamton, UL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Birmingham (Ala.), PL;Birmingham (Ala.), PL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Birmingham (Ala.), UAL;Birmingham (Ala.), UAL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Birmingham, UL;Birmingham, UL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Blacksburg, VTL;Blacksburg, VTL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Blois, BM;Blois, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bloomington, IUL;Bloomington, IUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bochum, UB;Bochum, UB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BA;Bologna, BA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BAS;Bologna, BAS;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BCA;Bologna, BCA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BCC;Bologna, BCC;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BCFJ;Bologna, BCFJ;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BCS;Bologna, BCS;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BDU;Bologna, BDU;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BM;Bologna, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BO;Bologna, BO;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BOMM;Bologna, BOMM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BPC;Bologna, BPC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BPM;Bologna, BPM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BPSD;Bologna, BPSD;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BSA;Bologna, BSA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, BU;Bologna, BU;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, CM;Bologna, CM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bologna, MBM;Bologna, MBM;           30/11/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bolzano, MC;Bolzano, MC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bonn, ULB;Bonn, ULB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bordeaux, BM;Bordeaux, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bordeaux, BSVS;Bordeaux, BSVS;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bordeaux, BUL;Bordeaux, BUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bordeaux, BUST;Bordeaux, BUST;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Borgomanero, FAM;Borgomanero, FAM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bornheim, BSA;Bornheim, BSA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, AL;Boston, AL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, BL;Boston, BL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, CLM;Boston, CLM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, MFAL;Boston, MFAL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, MHoSL;Boston, MHoSL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, MHSL;Boston, MHSL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, MML;Boston, MML;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, NEHGSL;Boston, NEHGSL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, PL;Boston, PL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, STL;Boston, STL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boston, TUL;Boston, TUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bottrop, LB;Bottrop, LB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boulder, UCL;Boulder, UCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boulogne-Billancourt, BM;Boulogne-Billancourt, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boulogne-sur-Mer, BM;Boulogne-sur-Mer, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bourbourg, BM;Bourbourg, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bourg-en-Bresse, BM;Bourg-en-Bresse, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bourges, BM;Bourges, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bowling Green, UL;Bowling Green, UL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Boxmeer, CK;Boxmeer, CK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bra, BC;Bra, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Braemar, MLL;Braemar, MLL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Braga, BP;Braga, BP;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bratislava, UK;Bratislava, UK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Braunschweig, UB;Braunschweig, UB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Breda, OBB;Breda, OBB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bremen, SB;Bremen, SB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brest, BM;Brest, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brest, SHD;Brest, SHD;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bretten, BM;Bretten, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brevard, BCL;Brevard, BCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brighton (Mass.), TML;Brighton (Mass.), TML;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brighton, UL;Brighton, UL;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Briones, CD;Briones, CD;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brioude, BM;Brioude, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brisbane, UQL;Brisbane, UQL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bristol, PL;Bristol, PL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bristol, UL;Bristol, UL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brive, BM;Brive, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brno, MZK;Brno, MZK;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brooklyn, PIL;Brooklyn, PIL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brooklyn, PL;Brooklyn, PL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruges, GS;Bruges, GS;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruges, SB;Bruges, SB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Brunswick, BCL;Brunswick, BCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruxelles, BB;Bruxelles, BB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruxelles, BR;Bruxelles, BR;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruxelles, BU;Bruxelles, BU;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruxelles, BUD;Bruxelles, BUD;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruxelles, BW;Bruxelles, BW;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bruxelles, ME;Bruxelles, ME;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bryn Athyn, ANC;Bryn Athyn, ANC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bryn Mawr, CL;Bryn Mawr, CL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bucuresti, BAR;Bucuresti, BAR;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bucuresti, BM;Bucuresti, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Budapest, AK;Budapest, AK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Budapest, EK;Budapest, EK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Budapest, KK;Budapest, KK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Budapest, KKK;Budapest, KKK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Budapest, OSZK;Budapest, OSZK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Budapest, RK;Budapest, RK;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Budrio, BC;Budrio, BC;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Buffalo, BECL;Buffalo, BECL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Buffalo, CC;Buffalo, CC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Buffalo, SUNY;Buffalo, SUNY;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bundoora Victoria, LUL;Bundoora Victoria, LUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Burgo de Osma, C;Burgo de Osma, C;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Burgo de Osma, SD;Burgo de Osma, SD;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Burgos, AS;Burgos, AS;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Burgos, BP;Burgos, BP;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Burgos, FT;Burgos, FT;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Burlington, UVL;Burlington, UVL;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Burnaby, SFUL;Burnaby, SFUL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Bury St. Edmunds, CL;Bury St. Edmunds, CL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cáceres, BP;Cáceres, BP;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cádiz, BP;Cádiz, BP;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Caen, AD;Caen, AD;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Caen, BM;Caen, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Caen, BU;Caen, BU;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Caen, MBA;Caen, MBA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cagli, BC;Cagli, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cagliari, BU;Cagliari, BU;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cahors, BM;Cahors, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Calais, BM;Calais, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambrai, BM;Cambrai, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge (Mass.), AHTL;Cambridge (Mass.), AHTL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge (Mass.), EML;Cambridge (Mass.), EML;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge (Mass.), HAL;Cambridge (Mass.), HAL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge (Mass.), HL;Cambridge (Mass.), HL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge (Mass.), HLL;Cambridge (Mass.), HLL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge (Mass.), RCL;Cambridge (Mass.), RCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge (Mass.), WL;Cambridge (Mass.), WL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, CCCL;Cambridge, CCCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, CCL;Cambridge, CCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, ClCL;Cambridge, ClCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, DCL;Cambridge, DCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, DL;Cambridge, DL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, ECL;Cambridge, ECL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, FML;Cambridge, FML;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, GCCL;Cambridge, GCCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, GCL;Cambridge, GCL;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, JCL;Cambridge, JCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, KCL;Cambridge, KCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, MCL;Cambridge, MCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, MLE;Cambridge, MLE;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, NCL;Cambridge, NCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, PCL;Cambridge, PCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, PL;Cambridge, PL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, QCL;Cambridge, QCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, SCCL;Cambridge, SCCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, SCL;Cambridge, SCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, SJCL;Cambridge, SJCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, SSCL;Cambridge, SSCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, TCL;Cambridge, TCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, THL;Cambridge, THL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, UL;Cambridge, UL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, ULBSL;Cambridge, ULBSL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, ULP;Cambridge, ULP;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, WCL;Cambridge, WCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cambridge, WML;Cambridge, WML;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Canberra, ANUL;Canberra, ANUL;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Canberra, NLA;Canberra, NLA;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Canterbury, CL;Canterbury, CL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cape Town, NL;Cape Town, NL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cape Town, UL;Cape Town, UL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Capua, BM;Capua, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Carbondale, SIU;Carbondale, SIU;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Carcassonne, BM;Carcassonne, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cardiff, LCL;Cardiff, LCL;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cardross, SPCL;Cardross, SPCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Carlisle (Pa.), DCL;Carlisle (Pa.), DCL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Carlisle, CL;Carlisle, CL;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Carpentras, BM;Carpentras, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Carpi, BC;Carpi, BC;17/10/2016;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Carpi, BSV;Carpi, BSV;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Casale Monferrato, BC;Casale Monferrato, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cassino, BSM;Cassino, BSM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Castell, FCS;Castell, FCS;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Castellón, AH;Castellón, AH;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Castellón, BP;Castellón, BP;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Castres, BM;Castres, BM;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Catania, BR;Catania, BR;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Catanzaro, BC;Catanzaro, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Celle, OGB;Celle, OGB;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
Cento, BC;Cento, BC;;;B;B 934 $c;BibExterieure;Bibliothèques Externes;;;;;;;;LISTE
